FIPS_NAME,FIRE_SIZE_CLASS,COUNT
Kings,B,43
Imperial,B,41
Glenn,B,40
Ventura,B,32
Marin,B,18
Sutter,B,13
San Francisco,B,11
Douglas,B,1
Riverside,A,4517
San Bernardino,A,1826
El Dorado,A,1823
Los Angeles,A,1803
San Diego,A,1505
Siskiyou,A,1476
Placer,A,1132
Shasta,A,1099
Lassen,A,1015
Fresno,A,997
Butte,A,935
Tuolumne,A,916
Kern,A,877
Plumas,A,841
Nevada,A,829
Madera,A,812
Trinity,A,713
Modoc,A,707
Merced,A,696
Humboldt,A,606
Mono,A,517
Calaveras,A,511
Tulare,A,461
Mendocino,A,451
Sonoma,A,434
Sierra,A,405
Tehama,A,400
Monterey,A,379
Amador,A,365
San Luis Obispo,A,357
Orange,A,330
Santa Cruz,A,330
Contra Costa,A,294
Lake,A,268
Inyo,A,263
Sacramento,A,263
Alpine,A,260
Napa,A,231
Mariposa,A,230
Yuba,A,223
Santa Clara,A,194
San Joaquin,A,167
Del Norte,A,158
Alameda,A,154
San Mateo,A,141
Yolo,A,133
Santa Barbara,A,127
Imperial,A,117
Stanislaus,A,88
Ventura,A,77
Kings,A,68
Solano,A,67
San Benito,A,53
Sutter,A,51
Marin,A,49
Glenn,A,40
Colusa,A,39
San Francisco,A,4
